01.06.19,00:02:56
02.06.19,00:03:29
03.06.19,00:03:06
04.06.19,00:03:00
05.06.19,00:03:15
06.06.19,00:03:24
07.06.19,00:03:16
08.06.19,00:03:22
09.06.19,00:03:24
10.06.19,00:03:35
11.06.19,00:03:19
12.06.19,00:03:25
13.06.19,00:03:31
14.06.19,00:03:31
15.06.19,00:03:18
16.06.19,00:02:58
17.06.19,00:02:59
18.06.19,00:03:10
19.06.19,00:03:06
20.06.19,00:03:17
21.06.19,00:03:39
22.06.19,00:03:28
23.06.19,00:03:43
24.06.19,00:03:14
25.06.19,00:03:13
26.06.19,00:02:42
27.06.19,00:02:44
28.06.19,00:03:07
29.06.19,00:03:04
30.06.19,00:03:23
01.07.19,00:03:14
02.07.19,00:02:56
03.07.19,00:02:51
04.07.19,00:02:35
05.07.19,00:03:39
06.07.19,00:02:56
07.07.19,00:02:33
08.07.19,00:03:02
09.07.19,00:02:43
10.07.19,00:02:42
11.07.19,00:03:04
12.07.19,00:03:07
13.07.19,00:02:27
14.07.19,00:02:52
15.07.19,00:02:53
16.07.19,00:02:55
17.07.19,00:02:55
18.07.19,00:03:04
19.07.19,00:03:13
20.07.19,00:02:59
21.07.19,00:02:51
22.07.19,00:03:05
23.07.19,00:02:55
24.07.19,00:03:00
25.07.19,00:02:45
26.07.19,00:03:02
27.07.19,00:02:56
28.07.19,00:03:25
29.07.19,00:03:09
30.07.19,00:03:10
31.07.19,00:03:00
01.08.19,00:03:01
02.08.19,00:02:55
03.08.19,00:02:58
04.08.19,00:03:11
05.08.19,00:02:52
06.08.19,00:03:09
07.08.19,00:03:04
08.08.19,00:03:00
09.08.19,00:03:18
10.08.19,00:02:36
11.08.19,00:02:53
12.08.19,00:02:56
13.08.19,00:03:05
14.08.19,00:03:07
15.08.19,00:02:49
16.08.19,00:03:18
17.08.19,00:02:36
18.08.19,00:02:38
19.08.19,00:02:26
20.08.19,00:02:18
21.08.19,00:03:20
22.08.19,00:03:18
23.08.19,00:02:57
24.08.19,00:02:39
25.08.19,00:02:33
26.08.19,00:03:07
27.08.19,00:03:05
28.08.19,00:02:45
29.08.19,00:02:56
30.08.19,00:03:17
31.08.19,00:03:05
01.09.19,00:02:32
02.09.19,00:02:22
03.09.19,00:02:42
04.09.19,00:02:49
05.09.19,00:02:52
06.09.19,00:02:53
07.09.19,00:03:02
08.09.19,00:02:29
09.09.19,00:02:59
10.09.19,00:02:29
11.09.19,00:02:50
12.09.19,00:02:38
13.09.19,00:02:53
14.09.19,00:03:03
15.09.19,00:03:08
16.09.19,00:02:30
17.09.19,00:02:26
18.09.19,00:02:46
19.09.19,00:02:50
20.09.19,00:03:05
21.09.19,00:02:45
22.09.19,00:02:51
23.09.19,00:02:49
24.09.19,00:03:08
25.09.19,00:03:10
26.09.19,00:02:37
27.09.19,00:02:51
28.09.19,00:02:45
29.09.19,00:02:59
30.09.19,00:02:52
01.10.19,00:02:44
02.10.19,00:02:58
03.10.19,00:02:44
04.10.19,00:02:48
05.10.19,00:03:02
06.10.19,00:02:46
07.10.19,00:02:40
08.10.19,00:02:18
09.10.19,00:02:55
10.10.19,00:02:41
11.10.19,00:02:39
12.10.19,00:02:26
13.10.19,00:02:48
14.10.19,00:02:43
15.10.19,00:03:10
16.10.19,00:02:45
17.10.19,00:02:44
18.10.19,00:02:40
19.10.19,00:03:20
20.10.19,00:02:57
21.10.19,00:02:52
22.10.19,00:03:09
23.10.19,00:03:03
24.10.19,00:02:56
25.10.19,00:03:00
26.10.19,00:02:59
27.10.19,00:02:35
28.10.19,00:02:31
29.10.19,00:03:06
30.10.19,00:03:06
31.10.19,00:02:20
01.11.19,00:02:50
02.11.19,00:03:19
03.11.19,00:02:57
04.11.19,00:03:26
05.11.19,00:03:36
06.11.19,00:03:06
07.11.19,00:03:06
08.11.19,00:02:56
09.11.19,00:02:51
10.11.19,00:02:45
11.11.19,00:03:18
12.11.19,00:03:00
13.11.19,00:02:24
14.11.19,00:02:52
15.11.19,00:03:12
16.11.19,00:02:50
17.11.19,00:03:16
18.11.19,00:02:48
19.11.19,00:02:47
20.11.19,00:03:07
21.11.19,00:02:59
22.11.19,00:03:12
23.11.19,00:02:38
24.11.19,00:03:02
25.11.19,00:02:46
26.11.19,00:02:53
27.11.19,00:02:54
28.11.19,00:02:31
29.11.19,00:02:08
30.11.19,00:02:45
01.12.19,00:02:49
02.12.19,00:02:39
03.12.19,00:02:44
04.12.19,00:03:13
05.12.19,00:03:02
06.12.19,00:03:03
07.12.19,00:02:44
08.12.19,00:03:19
09.12.19,00:03:05
10.12.19,00:02:53
11.12.19,00:03:16
12.12.19,00:02:49
13.12.19,00:02:43
14.12.19,00:02:43
15.12.19,00:03:07
16.12.19,00:03:18
17.12.19,00:03:05
18.12.19,00:03:26
19.12.19,00:03:20
20.12.19,00:03:04
21.12.19,00:02:50
22.12.19,00:02:38
23.12.19,00:02:31
24.12.19,00:02:29
25.12.19,00:02:49
26.12.19,00:02:34
27.12.19,00:02:40
28.12.19,00:02:22
29.12.19,00:02:15
30.12.19,00:02:30
31.12.19,00:02:46
01.01.20,00:02:46
02.01.20,00:02:32
03.01.20,00:02:42
04.01.20,00:02:37
05.01.20,00:02:32
06.01.20,00:02:54
07.01.20,00:02:38
08.01.20,00:02:46
09.01.20,00:02:37
10.01.20,00:02:58
11.01.20,00:03:06
12.01.20,00:02:50
13.01.20,00:02:36
14.01.20,00:02:24
15.01.20,00:02:55
16.01.20,00:02:56
17.01.20,00:02:25
18.01.20,00:02:56
19.01.20,00:02:39
20.01.20,00:03:06
21.01.20,00:02:39
22.01.20,00:02:43
23.01.20,00:02:51
24.01.20,00:02:56
25.01.20,00:02:52
26.01.20,00:02:53
27.01.20,00:02:52
28.01.20,00:02:52
29.01.20,00:03:00
30.01.20,00:02:54
31.01.20,00:03:20
01.02.20,00:02:43
02.02.20,00:03:07
03.02.20,00:03:05
04.02.20,00:02:39
05.02.20,00:03:00
06.02.20,00:02:44
07.02.20,00:03:06
08.02.20,00:03:01
09.02.20,00:02:38
10.02.20,00:02:18
11.02.20,00:02:53
12.02.20,00:02:46
